"Year","State","State_Mandate","Shootings","Body_Cam_Rate","Threat_Rate","Weapon_Rate","Flee_Rate","Race_B_Rate","Race_W_Rate","Race_A_Rate","Race_H_Rate","Race_N_Rate","Gender_Rate","Population","Race_Diversity","AdoptionYear","Mandate","Post"
2021,"CT",1,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3606610,NA,2016,1,1
2015,"DC",1,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,677014,NA,2016,1,0
2016,"DC",1,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,687576,NA,2016,1,1
2017,"DC",1,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,697079,NA,2016,1,1
2018,"DC",1,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,704147,NA,2016,1,1
2019,"DC",1,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,708253,NA,2016,1,1
2020,"DC",1,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,670917,NA,2016,1,1
2021,"DC",1,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,669256,NA,2016,1,1
2015,"DE",0,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,942065,NA,NA,0,0
2016,"DE",0,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,949989,NA,NA,0,1
2017,"DE",0,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,957942,NA,NA,0,1
2020,"DE",0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,991928,NA,NA,0,1
2021,"DE",0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1005060,NA,NA,0,1
2015,"FL",0,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20219110,NA,NA,0,0
2016,"FL",0,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20627240,NA,NA,0,1
2017,"FL",0,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20977090,NA,NA,0,1
2018,"FL",0,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21254930,NA,NA,0,1
2019,"FL",0,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21492060,NA,NA,0,1
2020,"FL",0,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21592040,NA,NA,0,1
2021,"FL",0,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21831950,NA,NA,0,1
2022,"FL",0,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22379310,NA,NA,0,1
2015,"GA",0,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10183350,NA,NA,0,0
2016,"GA",0,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10308440,NA,NA,0,1
2017,"GA",0,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10417030,NA,NA,0,1
2018,"GA",0,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10519390,NA,NA,0,1
2019,"GA",0,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10628020,NA,NA,0,1
2020,"GA",0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10732890,NA,NA,0,1
2021,"GA",0,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10792060,NA,NA,0,1
2022,"GA",0,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10931810,NA,NA,0,1
