"Year","State","State_Mandate","Shootings","Body_Cam_Rate","Threat_Rate","Weapon_Rate","Flee_Rate","Race_B_Rate","Race_W_Rate","Race_A_Rate","Race_H_Rate","Race_N_Rate","Gender_Rate","Population","Race_Diversity","AdoptionYear","Mandate","Post"
2021,"CO",0,0.24,0.0714,0.6429,1,0.5714,0.0714,0.7143,0,0.2143,0,0,5814040,0.43875306,NA,0,1
2022,"CO",0,0.07,0,0.75,1,0.75,0,1,0,0,0,0,5850940,0,NA,0,1
2015,"CT",1,0.06,0,1,1,0.5,0,1,0,0,0,0,3588560,0,2016,1,0
2016,"CT",1,0.08,0,0.3333,1,0,0,0.6667,0,0.3333,0,0,3579830,0.44442222,2016,1,1
2017,"CT",1,0.03,0,1,1,1,0,1,0,0,0,0,3575320,0,2016,1,1
2018,"CT",1,0.03,0,0,1,0,0,1,0,0,0,0,3574560,0,2016,1,1
2019,"CT",1,0.11,0.25,1,0.75,0.75,0.25,0.25,0,0.5,0,0,3566020,0.625,2016,1,1
2020,"CT",1,0.14,0.6,0.6,0.8,0.2,0.4,0.2,0,0.4,0,0,3579920,0.64,2016,1,1
2021,"CT",1,0.03,1,1,1,0,1,0,0,0,0,0,3606610,0,2016,1,1
2015,"DC",1,0.59,0,0.5,0.75,0.25,1,0,0,0,0,0.25,677014,0,2016,1,0
2016,"DC",1,0.73,0.4,0.8,1,0.4,1,0,0,0,0,0,687576,0,2016,1,1
2017,"DC",1,0.29,0.5,1,1,0.5,0.5,0.5,0,0,0,0.5,697079,0.5,2016,1,1
2018,"DC",1,0.14,0,1,1,0,1,0,0,0,0,0,704147,0,2016,1,1
2019,"DC",1,0.14,0,1,1,0,1,0,0,0,0,0,708253,0,2016,1,1
2020,"DC",1,0.15,1,0,1,1,1,0,0,0,0,0,670917,0,2016,1,1
2021,"DC",1,0.45,0.3333,1,0.6667,0.3333,0.6667,0.3333,0,0,0,0.3333,669256,0.44442222,2016,1,1
2015,"DE",0,0.11,1,1,1,0,0,1,0,0,0,0,942065,0,NA,0,0
2016,"DE",0,0.11,0,0,1,1,0,1,0,0,0,0,949989,0,NA,0,1
2017,"DE",0,0.42,0.25,0.75,1,0.25,0.5,0.5,0,0,0,0,957942,0.5,NA,0,1
2020,"DE",0,0.2,0,0.5,1,0,0.5,0,0,0.5,0,0,991928,0.5,NA,0,1
2021,"DE",0,0.2,0.5,0,1,0.5,0.5,0.5,0,0,0,0.5,1005060,0.5,NA,0,1
2015,"FL",0,0.26,0.0377,0.7925,0.8679,0.2453,0.3962,0.4528,0,0.1509,0,0.0189,20219110,0.61522691,NA,0,0
2016,"FL",0,0.25,0.0196,0.4902,0.9412,0.1765,0.2745,0.549,0.0196,0.1569,0,0.0588,20627240,0.59824698,NA,0,1
2017,"FL",0,0.22,0.0217,0.6304,0.8913,0.3043,0.3478,0.5435,0,0.1087,0,0.1087,20977090,0.57182722,NA,0,1
2018,"FL",0,0.26,0.0909,0.6545,0.8545,0.2727,0.3273,0.5455,0,0.1273,0,0.0364,21254930,0.57909917,NA,0,1
