"Year","State","State_Mandate","Shootings","Body_Cam_Rate","Threat_Rate","Weapon_Rate","Flee_Rate","Race_B_Rate","Race_W_Rate","Race_A_Rate","Race_H_Rate","Race_N_Rate","Gender_Rate","Population"
2019,"NM",0,0.48,"10%","70%","100%","10%","0%","30%","0%","70%","0%","20%",2099630
2020,"NM",0,0.57,"8.33%","58.33%","100%","58.33%","8.33%","16.67%","0%","75%","0%","0%",2118610
2021,"NM",0,0.61,"15.38%","76.92%","92.31%","69.23%","0%","7.69%","0%","84.62%","7.69%","0%",2117330
2022,"NM",0,0.14,"0%","66.67%","100%","33.33%","33.33%","33.33%","0%","33.33%","0%","0%",2113870
2015,"NV",1,0.56,"25%","87.5%","93.75%","25%","18.75%","62.5%","0%","18.75%","0%","12.5%",2868530
2016,"NV",1,0.34,"10%","70%","90%","50%","20%","30%","0%","50%","0%","0%",2919560
2017,"NV",1,0.47,"21.43%","71.43%","100%","7.14%","14.29%","42.86%","0%","35.71%","7.14%","0%",2972100
2018,"NV",1,0.49,"53.33%","66.67%","100%","46.67%","20%","40%","13.33%","26.67%","0%","0%",3030730
2019,"NV",1,0.29,"33.33%","55.56%","88.89%","33.33%","11.11%","33.33%","0%","55.56%","0%","11.11%",3090770
2020,"NV",1,0.77,"45.83%","70.83%","95.83%","37.5%","20.83%","62.5%","0%","16.67%","0%","0%",3116970
2021,"NV",1,0.03,"0%","0%","100%","100%","0%","100%","0%","0%","0%","0%",3148140
2022,"NV",1,0.03,"0%","100%","100%","100%","100%","0%","0%","0%","0%","0%",3176120
2015,"NY",0,0.09,"0%","82.35%","82.35%","52.94%","41.18%","52.94%","5.88%","0%","0%","0%",19657320
2016,"NY",0,0.08,"0%","81.25%","100%","18.75%","50%","43.75%","0%","6.25%","0%","12.5%",19636390
2017,"NY",0,0.08,"13.33%","73.33%","100%","40%","53.33%","26.67%","0%","20%","0%","6.67%",19593850
2018,"NY",0,0.07,"28.57%","71.43%","100%","21.43%","42.86%","42.86%","0%","14.29%","0%","7.14%",19544100
2019,"NY",0,0.08,"31.25%","81.25%","93.75%","25%","56.25%","37.5%","0%","6.25%","0%","0%",19463130
2020,"NY",0,0.07,"35.71%","71.43%","100%","35.71%","50%","42.86%","0%","7.14%","0%","0%",20105170
2021,"NY",0,0.02,"75%","25%","100%","100%","25%","75%","0%","0%","0%","0%",19848280
2022,"NY",0,0.01,"50%","100%","100%","100%","50%","50%","0%","0%","0%","0%",19703750
2015,"OH",0,0.22,"8%","80%","88%","16%","52%","48%","0%","0%","0%","4%",11622320
2016,"OH",0,0.17,"0%","40%","95%","50%","50%","40%","10%","0%","0%","10%",11640060
2017,"OH",0,0.27,"12.9%","67.74%","87.1%","9.68%","29.03%","70.97%","0%","0%","0%","0%",11665710
2018,"OH",0,0.24,"7.14%","67.86%","89.29%","21.43%","28.57%","71.43%","0%","0%","0%","7.14%",11680890
2019,"OH",0,0.18,"14.29%","61.9%","95.24%","47.62%","42.86%","57.14%","0%","0%","0%","0%",11696510
2020,"OH",0,0.13,"6.67%","66.67%","100%","26.67%","46.67%","53.33%","0%","0%","0%","6.67%",11798910
2021,"OH",0,0.14,"37.5%","62.5%","93.75%","50%","62.5%","31.25%","0%","6.25%","0%","6.25%",11767340
2022,"OH",0,0.02,"100%","0%","50%","100%","50%","50%","0%","0%","0%","0%",11777870
2015,"OK",0,0.77,"10%","83.33%","86.67%","33.33%","26.67%","70%","0%","3.33%","0%","0%",3910520
2016,"OK",0,0.48,"21.05%","63.16%","84.21%","36.84%","21.05%","63.16%","0%","15.79%","0%","0%",3928140
2017,"OK",0,0.56,"13.64%","77.27%","95.45%","22.73%","13.64%","59.09%","9.09%","9.09%","9.09%","0%",3933600
2018,"OK",0,0.76,"10%","53.33%","86.67%","30%","13.33%","73.33%","3.33%","3.33%","6.67%","3.33%",3943490
2019,"OK",0,0.73,"34.48%","82.76%","96.55%","44.83%","31.03%","62.07%","0%","3.45%","3.45%","3.45%",3960680
2020,"OK",0,0.53,"19.05%","71.43%","95.24%","38.1%","14.29%","76.19%","0%","4.76%","4.76%","4.76%",3965420
2021,"OK",0,0.15,"33.33%","100%","100%","50%","16.67%","66.67%","0%","16.67%","0%","16.67%",3992240
2022,"OK",0,0.05,"50%","100%","100%","50%","100%","0%","0%","0%","0%","0%",4026230
2015,"OR",0,0.32,"0%","76.92%","100%","23.08%","0%","100%","0%","0%","0%","7.69%",4018540
2016,"OR",0,0.29,"8.33%","41.67%","91.67%","16.67%","8.33%","91.67%","0%","0%","0%","0%",4093270
2017,"OR",0,0.27,"0%","36.36%","90.91%","54.55%","18.18%","63.64%","0%","18.18%","0%","0%",4147290
2018,"OR",0,0.29,"8.33%","50%","91.67%","41.67%","8.33%","83.33%","0%","8.33%","0%","0%",4183540
2019,"OR",0,0.36,"6.67%","60%","93.33%","13.33%","6.67%","80%","0%","13.33%","0%","6.67%",4216120
2020,"OR",0,0.24,"30%","70%","100%","30%","0%","80%","0%","20%","0%","0%",4243780
2021,"OR",0,0.14,"16.67%","33.33%","100%","33.33%","0%","83.33%","0%","16.67%","0%","0%",4254280
2022,"OR",0,0.02,"0%","0%","100%","100%","100%","0%","0%","0%","0%","0%",4247370
2015,"PA",0,0.13,"0%","82.35%","88.24%","23.53%","47.06%","47.06%","0%","5.88%","0%","0%",12789840
2016,"PA",0,0.13,"0%","68.75%","87.5%","43.75%","56.25%","43.75%","0%","0%","0%","6.25%",12788470
2017,"PA",0,0.14,"0%","50%","88.89%","16.67%","22.22%","72.22%","0%","5.56%","0%","0%",12794680
2018,"PA",0,0.14,"0%","72.22%","88.89%","44.44%","44.44%","38.89%","0%","16.67%","0%","0%",12809110
2019,"PA",0,0.09,"0%","100%","100%","33.33%","50%","50%","0%","0%","0%","8.33%",12798880
2020,"PA",0,0.11,"21.43%","64.29%","85.71%","35.71%","42.86%","35.71%","7.14%","14.29%","0%","7.14%",12996140
2021,"PA",0,0.1,"0%","53.85%","92.31%","23.08%","15.38%","76.92%","0%","7.69%","0%","0%",13015570
2022,"PA",0,0.04,"20%","60%","100%","20%","20%","80%","0%","0%","0%","0%",12984990
2016,"RI",0,0.19,"0%","100%","100%","100%","50%","0%","0%","50%","0%","0%",1057820
2015,"SC",1,0.35,"0%","88.24%","94.12%","17.65%","47.06%","52.94%","0%","0%","0%","5.88%",4896010
2016,"SC",1,0.3,"26.67%","93.33%","93.33%","33.33%","26.67%","73.33%","0%","0%","0%","0%",4963030
2017,"SC",1,0.18,"11.11%","55.56%","88.89%","33.33%","11.11%","66.67%","0%","22.22%","0%","0%",5027100
2018,"SC",1,0.24,"25%","66.67%","100%","25%","25%","66.67%","8.33%","0%","0%","25%",5091700
2019,"SC",1,0.23,"16.67%","58.33%","100%","41.67%","25%","75%","0%","0%","0%","0%",5157700
2020,"SC",1,0.21,"0%","81.82%","100%","18.18%","45.45%","54.55%","0%","0%","0%","0%",5132250
2021,"SC",1,0.12,"50%","66.67%","100%","50%","16.67%","83.33%","0%","0%","0%","0%",5194270
2022,"SC",1,0.09,"60%","20%","80%","60%","80%","20%","0%","0%","0%","0%",5287940
2015,"SD",0,0.35,"0%","100%","100%","33.33%","0%","66.67%","0%","0%","33.33%","0%",854663
2016,"SD",0,0.35,"0%","100%","66.67%","0%","0%","100%","0%","0%","0%","0%",863693
2017,"SD",0,0.34,"0%","100%","100%","33.33%","0%","66.67%","33.33%","0%","0%","0%",873732
2018,"SD",0,0.11,"0%","100%","100%","100%","0%","100%","0%","0%","0%","0%",879386
2019,"SD",0,0.34,"0%","66.67%","100%","33.33%","0%","66.67%","0%","0%","33.33%","0%",887127
2015,"TN",0,0.23,"0%","93.33%","93.33%","13.33%","26.67%","66.67%","0%","6.67%","0%","0%",6595350
2016,"TN",0,0.32,"33.33%","47.62%","95.24%","38.1%","14.29%","76.19%","4.76%","4.76%","0%","4.76%",6651280
2017,"TN",0,0.3,"0%","80%","95%","45%","15%","85%","0%","0%","0%","5%",6714750
2018,"TN",0,0.34,"4.35%","60.87%","100%","39.13%","34.78%","60.87%","0%","4.35%","0%","4.35%",6778180
2019,"TN",0,0.42,"6.9%","82.76%","96.55%","20.69%","27.59%","72.41%","0%","0%","0%","6.9%",6830330
2020,"TN",0,0.29,"0%","65%","90%","45%","20%","75%","0%","5%","0%","0%",6927900
2021,"TN",0,0.24,"11.76%","76.47%","100%","47.06%","47.06%","52.94%","0%","0%","0%","29.41%",6965740
2022,"TN",0,0.06,"0%","50%","100%","50%","25%","75%","0%","0%","0%","0%",7062220
2015,"TX",1,0.32,"3.41%","72.73%","94.32%","29.55%","19.32%","47.73%","1.14%","31.82%","0%","3.41%",27468530
2016,"TX",1,0.24,"11.94%","62.69%","89.55%","34.33%","22.39%","50.75%","0%","26.87%","0%","5.97%",27914060
2017,"TX",1,0.18,"15.38%","69.23%","92.31%","32.69%","23.08%","38.46%","1.92%","36.54%","0%","13.46%",28291020
2018,"TX",1,0.22,"6.45%","64.52%","88.71%","29.03%","22.58%","35.48%","1.61%","40.32%","0%","9.68%",28624560
2019,"TX",1,0.29,"13.1%","71.43%","90.48%","45.24%","23.81%","45.24%","2.38%","28.57%","0%","9.52%",28986790
2020,"TX",1,0.2,"13.79%","75.86%","91.38%","31.03%","31.03%","29.31%","1.72%","37.93%","0%","1.72%",29239570
2021,"TX",1,0.11,"42.42%","63.64%","93.94%","45.45%","27.27%","39.39%","0%","33.33%","0%","0%",29570350
2022,"TX",1,0.06,"5.56%","61.11%","94.44%","61.11%","16.67%","61.11%","0%","22.22%","0%","0%",30113490
2015,"UT",1,0.3,"55.56%","100%","100%","0%","0%","100%","0%","0%","0%","0%",2983630
2016,"UT",1,0.26,"12.5%","50%","100%","50%","0%","100%","0%","0%","0%","0%",3044240
2017,"UT",1,0.16,"60%","40%","100%","20%","20%","40%","0%","40%","0%","0%",3103540
2018,"UT",1,0.51,"18.75%","56.25%","100%","50%","12.5%","50%","0%","25%","12.5%","0%",3155150
2019,"UT",1,0.28,"55.56%","55.56%","88.89%","44.44%","22.22%","44.44%","0%","33.33%","0%","0%",3203380
2020,"UT",1,0.4,"15.38%","53.85%","100%","46.15%","7.69%","76.92%","7.69%","7.69%","0%","0%",3284080
2021,"UT",1,0.12,"50%","75%","100%","50%","25%","25%","0%","50%","0%","0%",3339740
2015,"VA",0,0.19,"25%","81.25%","87.5%","18.75%","50%","43.75%","0%","6.25%","0%","0%",8367300
2016,"VA",0,0.19,"25%","50%","93.75%","6.25%","50%","43.75%","0%","6.25%","0%","6.25%",8417650
2017,"VA",0,0.22,"0%","63.16%","100%","21.05%","26.32%","57.89%","5.26%","10.53%","0%","10.53%",8471010
2018,"VA",0,0.21,"11.11%","61.11%","83.33%","61.11%","66.67%","33.33%","0%","0%","0%","5.56%",8510920
2019,"VA",0,0.11,"11.11%","88.89%","100%","33.33%","22.22%","77.78%","0%","0%","0%","11.11%",8556640
2020,"VA",0,0.14,"16.67%","66.67%","100%","41.67%","33.33%","50%","0%","8.33%","8.33%","0%",8637620
2021,"VA",0,0.15,"7.69%","76.92%","92.31%","38.46%","38.46%","61.54%","0%","0%","0%","7.69%",8658910
2022,"VA",0,0.03,"33.33%","66.67%","100%","33.33%","33.33%","66.67%","0%","0%","0%","33.33%",8683410
2015,"VT",0,0.16,"100%","100%","100%","0%","0%","100%","0%","0%","0%","0%",625810
2016,"VT",0,0.32,"100%","0%","50%","50%","0%","50%","0%","0%","50%","0%",624366
2017,"VT",0,0.16,"0%","100%","100%","0%","0%","100%","0%","0%","0%","0%",625132
2018,"VT",0,0.32,"0%","0%","100%","50%","0%","100%","0%","0%","0%","0%",624802
2019,"VT",0,0.48,"0%","100%","100%","33.33%","0%","100%","0%","0%","0%","0%",624046
2015,"WA",1,0.21,"0%","80%","80%","40%","0%","80%","6.67%","6.67%","6.67%","0%",7167290
2016,"WA",1,0.27,"10%","40%","100%","10%","15%","50%","5%","15%","15%","15%",7299960
2017,"WA",1,0.32,"16.67%","45.83%","100%","25%","16.67%","50%","8.33%","16.67%","8.33%","4.17%",7427950
2018,"WA",1,0.23,"5.88%","58.82%","94.12%","35.29%","0%","70.59%","5.88%","23.53%","0%","0%",7526790
2019,"WA",1,0.35,"14.81%","59.26%","88.89%","18.52%","18.52%","40.74%","7.41%","29.63%","3.7%","0%",7614020
2020,"WA",1,0.22,"11.76%","52.94%","88.24%","58.82%","17.65%","52.94%","11.76%","17.65%","0%","11.76%",7727210
2021,"WA",1,0.03,"50%","50%","50%","50%","50%","50%","0%","0%","0%","0%",7743760
2022,"WA",1,0.01,"0%","0%","100%","0%","0%","100%","0%","0%","0%","0%",7794120
2015,"WI",0,0.19,"0%","63.64%","90.91%","18.18%","18.18%","63.64%","0%","18.18%","0%","0%",5762930
2016,"WI",0,0.29,"29.41%","47.06%","94.12%","29.41%","29.41%","70.59%","0%","0%","0%","5.88%",5775170
2017,"WI",0,0.38,"18.18%","54.55%","90.91%","36.36%","18.18%","68.18%","0%","0%","13.64%","0%",5793150
2018,"WI",0,0.19,"27.27%","45.45%","100%","27.27%","27.27%","63.64%","0%","0%","9.09%","0%",5809320
2019,"WI",0,0.29,"5.88%","47.06%","94.12%","29.41%","17.65%","64.71%","5.88%","11.76%","0%","0%",5824580
2020,"WI",0,0.2,"8.33%","50%","100%","33.33%","25%","66.67%","0%","8.33%","0%","0%",5897380
2021,"WI",0,0.12,"28.57%","71.43%","100%","42.86%","28.57%","57.14%","0%","14.29%","0%","0%",5881610
2022,"WI",0,0.02,"100%","0%","100%","100%","100%","0%","0%","0%","0%","0%",5903980
2015,"WV",0,0.43,"0%","75%","100%","50%","25%","75%","0%","0%","0%","12.5%",1843330
2016,"WV",0,0.44,"25%","50%","100%","12.5%","12.5%","87.5%","0%","0%","0%","0%",1832440
2017,"WV",0,0.38,"0%","71.43%","100%","42.86%","14.29%","85.71%","0%","0%","0%","0%",1818680
2018,"WV",0,0.28,"40%","80%","100%","40%","40%","60%","0%","0%","0%","0%",1805950
2019,"WV",0,0.67,"8.33%","83.33%","91.67%","50%","16.67%","75%","8.33%","0%","0%","8.33%",1795260
2020,"WV",0,0.22,"0%","75%","75%","0%","0%","100%","0%","0%","0%","0%",1791650
2021,"WV",0,0.06,"0%","100%","100%","100%","0%","100%","0%","0%","0%","0%",1785620
2022,"WV",0,0.11,"0%","50%","100%","50%","0%","100%","0%","0%","0%","0%",1774120
2015,"WY",0,0.85,"0%","60%","100%","20%","0%","80%","0%","0%","20%","20%",586389
2016,"WY",0,0.17,"0%","100%","100%","0%","0%","100%","0%","0%","0%","0%",585243
2017,"WY",0,0.17,"0%","100%","100%","0%","0%","100%","0%","0%","0%","0%",579994
2018,"WY",0,0.69,"0%","25%","75%","75%","0%","75%","0%","25%","0%","0%",579054
2019,"WY",0,0.17,"0%","100%","100%","0%","0%","0%","0%","0%","100%","0%",580116
2020,"WY",0,0.17,"0%","100%","100%","100%","0%","100%","0%","0%","0%","0%",577681
