"Year","State","State_Mandate","Shootings","Body_Cam_Rate","Threat_Rate","Weapon_Rate","Flee_Rate","Race_B_Rate","Race_W_Rate","Race_A_Rate","Race_H_Rate","Race_N_Rate","Gender_Rate","Population","Race_Diversity","AdoptionYear","Mandate","Post"
2020,"CA",0,0.28,2.613e-07,6.396e-07,9.55e-07,4.505e-07,1.892e-07,2.883e-07,4.5e-08,4.775e-07,0,6.31e-08,39521960,0.999999999999651,NA,0,1
2021,"CA",0,0.11,3.721e-07,6.744e-07,9.07e-07,4.186e-07,3.256e-07,2.093e-07,2.33e-08,4.419e-07,0,4.65e-08,39142570,0.999999999999654,NA,0,1
2022,"CA",0,0.05,3.333e-07,5.556e-07,1e-06,5.556e-07,1.111e-07,2.778e-07,5.56e-08,5.556e-07,0,1.111e-07,39142410,0.999999999999599,NA,0,1
2015,"CO",0,0.5,3.7e-08,8.148e-07,9.63e-07,4.074e-07,1.852e-07,4.074e-07,3.7e-08,3.333e-07,3.7e-08,3.7e-08,5454330,0.999999999999686,NA,0,0
2016,"CO",0,0.43,1.25e-07,6.667e-07,9.583e-07,4.167e-07,8.33e-08,6.667e-07,0,2.5e-07,0,0,5543840,0.999999999999486,NA,0,1
2017,"CO",0,0.37,9.52e-08,6.19e-07,8.571e-07,5.238e-07,9.52e-08,5.238e-07,4.76e-08,2.381e-07,9.52e-08,0,5617420,0.999999999999649,NA,0,1
2018,"CO",0,0.63,1.389e-07,5.278e-07,9.444e-07,4.444e-07,2.78e-08,6.667e-07,5.56e-08,2.222e-07,2.78e-08,2.78e-08,5697160,0.999999999999502,NA,0,1
2019,"CO",0,0.54,9.68e-08,6.452e-07,9.677e-07,4.839e-07,1.613e-07,3.871e-07,0,4.516e-07,0,6.45e-08,5758490,0.99999999999962,NA,0,1
2020,"CO",0,0.55,1.25e-07,5.938e-07,9.688e-07,5.625e-07,1.25e-07,6.25e-07,0,2.188e-07,3.12e-08,3.12e-08,5787130,0.999999999999545,NA,0,1
2021,"CO",0,0.24,7.14e-08,6.429e-07,1e-06,5.714e-07,7.14e-08,7.143e-07,0,2.143e-07,0,0,5814040,0.999999999999439,NA,0,1
